,date,issueType,fundsLost
793,2022-12-26,Phishing,8000000
794,2022-12-30,Rugpull,468000
795,2022-12-31,Access Control,3600000
796,2022-12-31,Rugpull,2100000
797,2023-01-03,Flash Loan Attack,197000
798,2023-01-03,Phishing,4170000
799,2023-01-04,Rugpull,2588000
800,2023-01-12,Other,6000000
801,2023-01-15,Flash Loan Attack,650000
802,2023-01-17,Other,70000
803,2023-01-18,Rugpull,150000
804,2023-01-19,Access Control,580000
