,date,issueType,fundsLost
184,2020-11-12,Abandoned,0
185,2020-11-12,Flash Loan Attack,2000000
186,2020-11-12,Honeypot,2338
187,2020-11-12,Rugpull,477544
188,2020-11-13,Other,0
189,2020-11-13,Rugpull,238435
190,2020-11-14,Flash Loan Attack,7000000
191,2020-11-14,Rugpull,7823
192,2020-11-15,Rugpull,138340
193,2020-11-17,Flash Loan Attack,8000000
194,2020-11-17,Rugpull,28437
195,2020-11-19,Rugpull,32065
196,2020-11-20,Rugpull,20685
197,2020-11-21,Other,19700000
198,2020-11-21,Rugpull,4804
199,2020-11-23,Rugpull,2195564
200,2020-11-24,Rugpull,164370
201,2020-11-25,Rugpull,898
202,2020-11-26,Oracle Issue,89000000
203,2020-11-26,Rugpull,17372
204,2020-11-27,Rugpull,220447
205,2020-11-28,Honeypot,6593
206,2020-11-28,Rugpull,27116
207,2020-11-29,Rugpull,34703
208,2020-11-30,Rugpull,424712
209,2020-12-01,Rugpull,12368424
210,2020-12-02,Rugpull,36698
211,2020-12-03,Rugpull,13140
212,2020-12-04,Rugpull,21049
213,2020-12-05,Abandoned,0
214,2020-12-05,Rugpull,555
215,2020-12-06,Honeypot,31056
216,2020-12-07,Honeypot,34560
217,2020-12-07,Rugpull,33123
218,2020-12-08,Honeypot,37255
219,2020-12-08,Rugpull,8992
220,2020-12-09,Honeypot,26074
221,2020-12-10,Honeypot,31797
222,2020-12-11,Rugpull,508721
223,2020-12-12,Abandoned,0
224,2020-12-12,Rugpull,6105
225,2020-12-13,Honeypot,6426
226,2020-12-13,Rugpull,5150
227,2020-12-14,Rugpull,270981
228,2020-12-15,Rugpull,6283
229,2020-12-17,Rugpull,221338
230,2020-12-18,Flash Loan Attack,7800000
231,2020-12-18,Rugpull,50631
232,2020-12-19,Rugpull,74067
233,2020-12-21,Access Control,11700000
234,2020-12-21,Rugpull,42754
235,2020-12-22,Rugpull,4272
236,2020-12-23,Honeypot,6152
237,2020-12-23,Rugpull,18203
238,2020-12-25,Rugpull,266789
239,2020-12-26,Rugpull,821506
240,2020-12-28,Other,9400000
241,2020-12-30,Rugpull,111637
242,2020-12-31,Rugpull,63065
243,2021-01-01,Rugpull,40422
244,2021-01-02,Rugpull,0
245,2021-01-03,Rugpull,8780
246,2021-01-05,Honeypot,494001
247,2021-01-05,Rugpull,460294
248,2021-01-06,Honeypot,207718
249,2021-01-06,Rugpull,15091
250,2021-01-07,Rugpull,353807
251,2021-01-09,Rugpull,50778
252,2021-01-10,Abandoned,0
253,2021-01-11,Honeypot,2720
254,2021-01-12,Honeypot,38798
255,2021-01-13,Rugpull,77687
256,2021-01-14,Abandoned,0
257,2021-01-15,Rugpull,216694
258,2021-01-16,Abandoned,0
259,2021-01-16,Rugpull,11678
260,2021-01-17,Honeypot,511960
261,2021-01-18,Rugpull,34122
262,2021-01-19,Other,275735
263,2021-01-21,Rugpull,407465
264,2021-01-22,Rugpull,149702
265,2021-01-23,Rugpull,30022
266,2021-01-24,Rugpull,22796
267,2021-01-26,Rugpull,318392
268,2021-01-28,Rugpull,2244984
269,2021-01-29,Rugpull,101071
270,2021-01-30,Rugpull,159803
271,2021-02-01,Rugpull,278275
272,2021-02-02,Rugpull,7193
273,2021-02-05,Flash Loan Attack,11000000
274,2021-02-08,Flash Loan Attack,1867271
275,2021-02-08,Honeypot,77328
276,2021-02-08,Rugpull,1638315
277,2021-02-10,Rugpull,500000
278,2021-02-11,Abandoned,1099672
279,2021-02-13,Flash Loan Attack,37500000
280,2021-02-14,Rugpull,76480
281,2021-02-15,Rugpull,2935141
282,2021-02-20,Access Control,45000
283,2021-02-20,Honeypot,26543
284,2021-02-20,Rugpull,805001
285,2021-02-25,Rugpull,399855
286,2021-02-28,Other,850000
287,2021-02-28,Rugpull,3290403
288,2021-03-01,Other,14000000
289,2021-03-01,Rugpull,310654
290,2021-03-04,Rugpull,30939983
291,2021-03-05,Other,27418034
292,2021-03-07,Abandoned,0
293,2021-03-07,Rugpull,134518
294,2021-03-08,Honeypot,0
295,2021-03-09,Other,3800000
296,2021-03-09,Rugpull,19950
297,2021-03-10,Other,0
298,2021-03-10,Rugpull,515499
299,2021-03-11,Rugpull,59164
300,2021-03-12,Other,0
301,2021-03-12,Rugpull,16644
302,2021-03-13,Rugpull,277897
303,2021-03-14,Access Control,5389203
304,2021-03-14,Other,0
305,2021-03-15,Access Control,500000
306,2021-03-15,Rugpull,1280809
307,2021-03-16,Honeypot,10531
308,2021-03-16,Rugpull,2565752
309,2021-03-17,Other,0
310,2021-03-17,Rugpull,224579
311,2021-03-18,Rugpull,25287
312,2021-03-19,Rugpull,24424
313,2021-03-21,Rugpull,9507
314,2021-03-26,Honeypot,2544
315,2021-03-28,Honeypot,194000
316,2021-04-03,Rugpull,10239
317,2021-04-04,Other,367000
318,2021-04-05,Other,3000000
319,2021-04-08,Other,1300000
320,2021-04-10,Honeypot,63188
321,2021-04-11,Rugpull,11874
322,2021-04-12,Other,1800000
323,2021-04-19,Access Control,59000000
324,2021-04-22,Rugpull,2000000000
325,2021-04-23,Rugpull,106315
326,2021-04-27,Rugpull,82091
327,2021-04-28,Other,57200000
328,2021-04-30,Rugpull,24143
329,2021-05-02,Flash Loan Attack,30500000
330,2021-05-05,Other,10000000
331,2021-05-07,Other,11000000
332,2021-05-08,Flash Loan Attack,15723948
333,2021-05-08,Other,700000
334,2021-05-12,Flash Loan Attack,24000000
335,2021-05-16,Flash Loan Attack,11000000
336,2021-05-17,Access Control,7000000
337,2021-05-18,Oracle Issue,77000000
338,2021-05-19,Flash Loan Attack,45000000
339,2021-05-19,Rugpull,2300000
340,2021-05-22,Flash Loan Attack,3642100
341,2021-05-23,Rugpull,32000000
342,2021-05-24,Flash Loan Attack,759046
343,2021-05-26,Other,680000
344,2021-05-27,Access Control,611963
345,2021-05-27,Other,550000
346,2021-05-28,Flash Loan Attack,1500000
347,2021-05-29,Flash Loan Attack,13500000
348,2021-06-03,Other,112187
349,2021-06-03,Rugpull,3725
350,2021-06-05,Rugpull,1500000
351,2021-06-10,Flash Loan Attack,1735747
352,2021-06-14,Other,2500000
353,2021-06-16,Other,0
354,2021-06-17,Honeypot,686491
355,2021-06-18,Other,6500000
356,2021-06-19,Access Control,504845
357,2021-06-19,Honeypot,626595
358,2021-06-20,Other,606536
359,2021-06-21,Flash Loan Attack,660657
360,2021-06-22,Access Control,75000000
361,2021-06-22,Other,4500000
362,2021-06-23,Rugpull,3627000000
363,2021-06-24,Access Control,500000
364,2021-06-25,Other,270000
365,2021-06-28,Other,248000
366,2021-06-29,Other,333825
367,2021-07-02,Other,5800000
368,2021-07-03,Other,8186549
369,2021-07-04,Other,414013
370,2021-07-05,Rugpull,1500000000
371,2021-07-09,Access Control,2000000
372,2021-07-10,Access Control,7907718
373,2021-07-11,Other,5986876
374,2021-07-13,Other,269315
375,2021-07-14,Access Control,6800987
376,2021-07-14,Flash Loan Attack,1260000
377,2021-07-15,Other,4364612
378,2021-07-16,Flash Loan Attack,2395931
379,2021-07-19,Flash Loan Attack,516391
380,2021-07-21,Other,279608
381,2021-07-22,Other,8000000
382,2021-07-28,Other,250000
383,2021-07-30,Other,1500000
384,2021-07-31,Access Control,2072967
385,2021-08-03,Other,20500000
386,2021-08-03,Rugpull,0
387,2021-08-04,Flash Loan Attack,800000
388,2021-08-04,Other,172411
389,2021-08-05,Rugpull,0
390,2021-08-08,Other,670000
391,2021-08-08,Rugpull,0
392,2021-08-09,Rugpull,0
393,2021-08-10,Other,611089570
394,2021-08-10,Rugpull,0
395,2021-08-11,Other,4000000
396,2021-08-11,Rugpull,0
397,2021-08-12,Other,6884420
398,2021-08-12,Rugpull,0
399,2021-08-14,Access Control,2600000
400,2021-08-14,Other,290738
401,2021-08-14,Rugpull,0
402,2021-08-15,Other,3202539
403,2021-08-15,Rugpull,0
404,2021-08-16,Flash Loan Attack,5570000
405,2021-08-16,Rugpull,0
406,2021-08-18,Other,200000
407,2021-08-19,Access Control,97000000
408,2021-08-19,Other,16000
409,2021-08-20,Rugpull,6709834
410,2021-08-21,Access Control,1000000
411,2021-08-25,Other,429724
412,2021-08-25,Rugpull,0
413,2021-08-26,Rugpull,0
414,2021-08-27,Rugpull,0
415,2021-08-29,Access Control,21000000
416,2021-08-29,Flash Loan Attack,4500000
417,2021-08-29,Other,21709378
418,2021-08-30,Rugpull,0
419,2021-08-31,Other,36154954
420,2021-08-31,Rugpull,0
421,2021-09-02,Honeypot,0
422,2021-09-03,Rugpull,0
423,2021-09-04,Other,4000000
424,2021-09-04,Rugpull,5000
425,2021-09-06,Rugpull,0
426,2021-09-07,Rugpull,0
427,2021-09-08,Honeypot,0
428,2021-09-09,Honeypot,0
429,2021-09-10,Honeypot,0
430,2021-09-10,Rugpull,2017053
431,2021-09-12,Other,3200000
432,2021-09-13,Honeypot,0
433,2021-09-13,Rugpull,0
434,2021-09-14,Honeypot,0
435,2021-09-15,Other,1142357
436,2021-09-15,Rugpull,0
437,2021-09-16,Other,2993606
438,2021-09-16,Rugpull,0
439,2021-09-17,Other,24412
440,2021-09-19,Other,12700000
441,2021-09-20,Honeypot,0
442,2021-09-20,Rugpull,0
443,2021-09-21,Honeypot,0
444,2021-09-21,Other,36000000
445,2021-09-22,Rugpull,0
446,2021-09-27,Rugpull,0
447,2021-09-28,Rugpull,0
448,2021-09-29,Honeypot,0
449,2021-09-29,Rugpull,0
450,2021-09-30,Other,71101556
451,2021-09-30,Rugpull,0
452,2021-10-01,Rugpull,0
453,2021-10-04,Honeypot,548
454,2021-10-04,Rugpull,0
455,2021-10-06,Flash Loan Attack,31410
456,2021-10-06,Rugpull,2339031
457,2021-10-07,Rugpull,0
458,2021-10-08,Other,90000000
459,2021-10-09,Rugpull,0
460,2021-10-10,Rugpull,0
461,2021-10-11,Rugpull,0
462,2021-10-12,Rugpull,0
463,2021-10-14,Other,16000000
464,2021-10-17,Other,300000
465,2021-10-18,Rugpull,0
466,2021-10-19,Rugpull,0
467,2021-10-20,Other,1984749
468,2021-10-23,Other,170704
469,2021-10-27,Flash Loan Attack,130000000
470,2021-10-29,Other,2000000
471,2021-10-29,Rugpull,60000000
472,2021-10-30,Access Control,139895140
473,2021-11-01,Rugpull,5723268
474,2021-11-02,Other,3003942
475,2021-11-05,Access Control,47600000
476,2021-11-13,Other,1109632
477,2021-11-14,Other,585882
478,2021-11-18,Rugpull,708623
479,2021-11-19,Rugpull,1323077
480,2021-11-20,Other,1309467
481,2021-11-21,Access Control,416125
482,2021-11-23,Flash Loan Attack,372441
483,2021-11-24,Other,211002
484,2021-11-25,Rugpull,736881
485,2021-11-26,Flash Loan Attack,972616
486,2021-11-26,Other,652941
487,2021-11-26,Rugpull,30000000
488,2021-11-28,Other,0
489,2021-12-01,Other,32471931
490,2021-12-02,Other,120285547
491,2021-12-04,Access Control,196000000
492,2021-12-05,Rugpull,129629
493,2021-12-06,Access Control,923719
494,2021-12-07,Abandoned,0
495,2021-12-08,Other,9863088
496,2021-12-11,Access Control,77700000
497,2021-12-12,Access Control,140000000
498,2021-12-12,Other,0
499,2021-12-12,Rugpull,360000
500,2021-12-14,Other,1103568
501,2021-12-15,Other,400000
502,2021-12-19,Reentrancy,40000000
503,2021-12-21,Other,3590067
504,2021-12-27,Honeypot,2826509
505,2021-12-28,Access Control,794041
506,2021-12-28,Honeypot,1619283
507,2021-12-30,Flash Loan Attack,316800
508,2022-01-01,Other,3000000
509,2022-01-01,Rugpull,1400000
510,2022-01-04,Rugpull,10000000
511,2022-01-06,Rugpull,30000
512,2022-01-07,Access Control,166306
513,2022-01-07,Rugpull,286585
514,2022-01-08,Access Control,7940000
515,2022-01-09,Abandoned,1300000
516,2022-01-10,Access Control,18595000
517,2022-01-11,Rugpull,1237622
518,2022-01-12,Rugpull,2661699
519,2022-01-17,Access Control,34358003
520,2022-01-17,Flash Loan Attack,770000
521,2022-01-17,Other,770000
522,2022-01-17,Rugpull,561284
523,2022-01-18,Other,2984281
524,2022-01-23,Abandoned,3000000
525,2022-01-23,Rugpull,4055803
526,2022-01-24,Other,1019300
527,2022-01-26,Rugpull,760000
528,2022-01-27,Other,80000000
529,2022-01-29,Other,90170
530,2022-01-30,Rugpull,781637
531,2022-02-02,Other,326000000
532,2022-02-04,Access Control,1723632
533,2022-02-04,Other,642756
534,2022-02-06,Other,7700000
535,2022-02-07,Other,244938
536,2022-02-07,Rugpull,303625
537,2022-02-08,Other,49000000
538,2022-02-09,Access Control,15444277
539,2022-02-09,Rugpull,664910
540,2022-02-14,Access Control,470000
541,2022-02-14,Honeypot,50830
542,2022-02-14,Other,1949111
543,2022-02-14,Rugpull,2602079
544,2022-02-16,Access Control,1135097
545,2022-02-17,Rugpull,84631
546,2022-02-20,Access Control,3056651
547,2022-02-21,Rugpull,277663
548,2022-02-23,Other,293000
549,2022-02-23,Rugpull,27699
550,2022-02-25,Access Control,660739
551,2022-03-03,Other,0
552,2022-03-03,Rugpull,39471
553,2022-03-05,Flash Loan Attack,957166
554,2022-03-06,Rugpull,18144
555,2022-03-07,Honeypot,105421
556,2022-03-07,Rugpull,159136
557,2022-03-08,Rugpull,484887
558,2022-03-09,Other,2622097
559,2022-03-13,Other,1661107
560,2022-03-14,Rugpull,216386
561,2022-03-15,Flash Loan Attack,3024325
562,2022-03-15,Other,11700000
563,2022-03-17,Access Control,205586
564,2022-03-20,Other,700000
565,2022-03-21,Flash Loan Attack,1508300
566,2022-03-22,Rugpull,526968
567,2022-03-23,Other,48000000
568,2022-03-23,Rugpull,75555
569,2022-03-24,Other,2600000
570,2022-03-27,Other,2000000
571,2022-03-29,Access Control,625000000
572,2022-03-31,Other,3600000
573,2022-04-01,Rugpull,346253
574,2022-04-02,Oracle Issue,14500000
575,2022-04-07,Other,15000000
576,2022-04-12,Flash Loan Attack,22200000
577,2022-04-15,Oracle Issue,1115266
578,2022-04-18,Flash Loan Attack,181000000
579,2022-04-25,Other,13000000
580,2022-04-28,Flash Loan Attack,17900000
581,2022-04-30,Reentrancy,79749026
582,2022-05-04,Other,2000000
583,2022-05-05,Rugpull,1500000
584,2022-05-06,Rugpull,63350000
585,2022-05-07,Other,1000047000
586,2022-05-08,Other,40002976004
587,2022-05-08,Rugpull,1290000
588,2022-05-10,Phishing,165000
589,2022-05-10,Reentrancy,19219
590,2022-05-12,Rugpull,60813
591,2022-05-13,Other,1350000
592,2022-05-14,Other,107600
593,2022-05-14,Phishing,18000
594,2022-05-14,Rugpull,8300000
595,2022-05-15,Flash Loan Attack,1500000
596,2022-05-15,Oracle Issue,35000000
597,2022-05-18,Other,1244590
598,2022-05-19,Other,6000000
599,2022-05-24,Flash Loan Attack,65155
600,2022-05-24,Rugpull,1037288
601,2022-05-25,Rugpull,180000
602,2022-05-26,Rugpull,3547315
603,2022-05-27,Rugpull,3659685
604,2022-05-29,Oracle Issue,85604
605,2022-05-29,Rugpull,9400000
606,2022-05-31,Oracle Issue,2000000
607,2022-05-31,Rugpull,339016
608,2022-06-02,Rugpull,6353460
609,2022-06-03,Rugpull,358000
610,2022-06-04,Other,276290
611,2022-06-04,Phishing,262732
612,2022-06-04,Rugpull,114360
613,2022-06-05,Other,113000000
614,2022-06-05,Rugpull,120000
615,2022-06-06,Other,343697
616,2022-06-07,Flash Loan Attack,72000
617,2022-06-07,Other,66000000
618,2022-06-08,Other,9250414
619,2022-06-08,Rugpull,77852
620,2022-06-09,Other,27600000
621,2022-06-10,Other,1100000
622,2022-06-10,Rugpull,14400
623,2022-06-11,Other,46493
624,2022-06-11,Rugpull,583151
625,2022-06-12,Other,9700
626,2022-06-13,Other,1190432497
627,2022-06-16,Flash Loan Attack,1260000
628,2022-06-20,Other,12374
629,2022-06-20,Rugpull,142000
630,2022-06-21,Rugpull,1500000
631,2022-06-23,Access Control,100000000
632,2022-06-23,Other,11578
633,2022-06-24,Phishing,351064
634,2022-06-25,Rugpull,707386
635,2022-06-26,Other,3837110
636,2022-06-28,Rugpull,50625
637,2022-06-29,Other,252354
638,2022-06-29,Rugpull,34721
639,2022-06-30,Rugpull,134120
640,2022-07-01,Access Control,62500
641,2022-07-02,Other,8782446
642,2022-07-02,Rugpull,54559
643,2022-07-04,Other,0
644,2022-07-05,Access Control,6828
645,2022-07-06,Rugpull,151110
646,2022-07-07,Rugpull,28247
647,2022-07-08,Other,2248328
648,2022-07-10,Reentrancy,1430000
649,2022-07-11,Access Control,94336
650,2022-07-11,Phishing,8000000
651,2022-07-13,Flash Loan Attack,26153
